column_name,data_type
medical_hist-physical_health,jsonb
medical_hist-supplement,jsonb
medical_hist-vaccination,jsonb
patient_id,uuid
physiology-bmi-bmi,numeric
physiology-bmi-height,numeric
physiology-bmi-weight,numeric
gpaq-active_commute,jsonb
modified_date,date
collected_at,timestamp without time zone
encounter_id,uuid
medical_hist-antibiotics,jsonb
medical_hist-blood_donor,jsonb
medical_hist-bowel_movement,jsonb
medical_hist-cognitive_health,jsonb
medical_hist-diseases,jsonb
medical_hist-food_allergies,jsonb
medical_hist-gastro_cond,jsonb
medical_hist-general_health,jsonb
medical_hist-hospitalized,jsonb
medical_hist-long_term_cond,jsonb
score,jsonb
medical_hist-medical_cond,jsonb
demographic-age-age,integer
medical_hist-med,jsonb
medical_hist-mental_health,jsonb
demographic-age-birth_year,integer
medical_hist-over_the_counter,jsonb
is_completed,boolean
psqi-med,text
psqi-restlessness,text
psqi-roommate,text
psqi-sleep_quality,text
psqi-trouble_sleeping,text
pss-stress,text
survey_detail-consent,text
survey_detail-donor_interest,text
survey_detail-media,text
survey_detail-survey_info,text
ccmq-experience-abdominal_bloating,text
ccmq-experience-acne_easily,text
ccmq-experience-adapt_to_env_change,text
ccmq-experience-allergies_presence,text
ccmq-experience-allergies_spots_on_skin,text
ccmq-experience-allergies_type,text
ccmq-experience-anxious_easily,text
ccmq-experience-body_easily_cold,text
ccmq-experience-body_feel_hot,text
ccmq-experience-body_pain,text
ccmq-experience-bruises_unexplained,text
ccmq-experience-catch_colds_easily,text
ccmq-experience-constipation,text
ccmq-experience-cough_by_env_change,text
ccmq-experience-depressed_or_low_spirits,text
ccmq-experience-diarrhea_with_cold_food,text
ccmq-experience-dizzy_easily,text
ccmq-experience-dull_complexion,text
ccmq-experience-emotionally_sensitive,text
ccmq-experience-energetic,text
ccmq-experience-extremities_cold,text
ccmq-experience-extremities_hot,text
ccmq-experience-eyes_dark_circles_easily,text
ccmq-experience-eyes_dry,text
ccmq-experience-face_oily,text
ccmq-experience-feeling_lethargic,text
ccmq-experience-forget_easily,text
ccmq-experience-heart_rate_irregular,text
ccmq-experience-hives_or_urticaria,text
ccmq-experience-hot_flashes_on_cheeks,text
ccmq-experience-insomnia,text
ccmq-experience-lips_darker,text
ccmq-experience-lips_redder,text
ccmq-experience-mouth_dry,text
ccmq-experience-mouth_sticky,text
ccmq-experience-mouth_strange_bitter_taste,text
ccmq-experience-nose_runny_or_stuffy_with_no_cold,text
ccmq-experience-ribcage_breast_distension_pain,text
ccmq-experience-ribcage_breast_pain,text
ccmq-experience-ribcage_pain,text
ccmq-experience-scared_easily,text
ccmq-experience-scrotum_wet,text
ccmq-experience-sensitive_to_cold,text
ccmq-experience-shortness_of_breath,text
ccmq-experience-sighing_unexplained,text
ccmq-experience-skin_lips_dry,text
ccmq-experience-skin_red_by_light_scratch,text
ccmq-experience-sneeze_with_no_cold,text
ccmq-experience-sticky_stools_or_incomplete_bowel_movement,text
ccmq-experience-sweat_easily,text
ccmq-experience-throat_feel_stuck,text
ccmq-experience-throat_phlegm,text
ccmq-experience-tired_easily,text
ccmq-experience-tiredness_no_talk,text
ccmq-experience-tongue_thick_coating,text
ccmq-experience-uncomfortable_with_cold_food,text
ccmq-experience-upper_eyelid_swelling,text
ccmq-experience-urine_hot_or_dark,text
ccmq-experience-vaginal_discharge_yellow,text
ccmq-experience-visible_veins_on_cheeks,text
ccmq-experience-vulnerable_to_cold,text
ccmq-experience-waist_excess_fats,text
ccmq-experience-weak_voice,text
consent-consent_type-amd_consent_form,text
consent-consent_type-contact_future_participation,text
consent-payment-payment_method_reimbursement,text
consent-time-date_consent,text
demographic-age-birth_date,text
demographic-age-birth_month,text
demographic-age-dob,text
demographic-ethnicity-ethnicity,text
demographic-ethnicity-ethnicity_maternal,text
demographic-ethnicity-ethnicity_mixed,text
demographic-ethnicity-ethnicity_others,text
demographic-ethnicity-ethnicity_paternal,text
demographic-ethnicity-race_maternal,text
demographic-ethnicity-race_maternal_others,text
demographic-ethnicity-race_paternal,text
demographic-ethnicity-race_paternal_others,text
demographic-gender-gender,text
demographic-housing-housing_ownership,text
demographic-housing-housing_ownership_others,text
demographic-housing-housing_type,text
demographic-nationality-nationality,text
demographic-nationality-nationality_others,text
demographic-residence-country_most_time_spent_last_12m,text
demographic-residence-country_most_time_spent_last_12m_others,text
demographic-residence-country_most_time_spent_last_6m,text
demographic-residence-residence_sg_next_3m,text
demographic-residence-residence_sg_past_6m,text
demographic-smoking-smoking_current_num_sticks,text
demographic-smoking-smoking_current_num_years,text
demographic-smoking-smoking_history,text
demographic-smoking-smoking_past_num_sticks,text
demographic-smoking-smoking_past_num_years,text
demographic-smoking-smoking_presence,text
demographic-smoking-smoking_quit_year,text
demographic-travel-travel_overseas_countries_visited_last_12m,text
demographic-travel-travel_overseas_countries_visited_last_6m,text
demographic-travel-travel_overseas_countries_visited_last_6m_10,text
demographic-travel-travel_overseas_countries_visited_last_6m_11,text
demographic-travel-travel_overseas_countries_visited_last_6m_12,text
demographic-travel-travel_overseas_countries_visited_last_6m_13,text
demographic-travel-travel_overseas_countries_visited_last_6m_2,text
demographic-travel-travel_overseas_countries_visited_last_6m_3,text
demographic-travel-travel_overseas_countries_visited_last_6m_4,text
demographic-travel-travel_overseas_countries_visited_last_6m_5,text
demographic-travel-travel_overseas_countries_visited_last_6m_6,text
demographic-travel-travel_overseas_countries_visited_last_6m_7,text
demographic-travel-travel_overseas_countries_visited_last_6m_8,text
demographic-travel-travel_overseas_countries_visited_last_6m_9,text
demographic-travel-travel_overseas_length_of_visit_last_6m,text
demographic-travel-travel_overseas_length_of_visit_last_6m_10,text
demographic-travel-travel_overseas_length_of_visit_last_6m_11,text
demographic-travel-travel_overseas_length_of_visit_last_6m_12,text
demographic-travel-travel_overseas_length_of_visit_last_6m_13,text
demographic-travel-travel_overseas_length_of_visit_last_6m_2,text
demographic-travel-travel_overseas_length_of_visit_last_6m_3,text
demographic-travel-travel_overseas_length_of_visit_last_6m_4,text
demographic-travel-travel_overseas_length_of_visit_last_6m_5,text
demographic-travel-travel_overseas_length_of_visit_last_6m_6,text
demographic-travel-travel_overseas_length_of_visit_last_6m_7,text
demographic-travel-travel_overseas_length_of_visit_last_6m_8,text
demographic-travel-travel_overseas_length_of_visit_last_6m_9,text
demographic-travel-travel_overseas_months_visited_last_6m,text
demographic-travel-travel_overseas_months_visited_last_6m_10,text
demographic-travel-travel_overseas_months_visited_last_6m_11,text
demographic-travel-travel_overseas_months_visited_last_6m_12,text
demographic-travel-travel_overseas_months_visited_last_6m_13,text
demographic-travel-travel_overseas_months_visited_last_6m_2,text
demographic-travel-travel_overseas_months_visited_last_6m_3,text
demographic-travel-travel_overseas_months_visited_last_6m_4,text
demographic-travel-travel_overseas_months_visited_last_6m_5,text
demographic-travel-travel_overseas_months_visited_last_6m_6,text
demographic-travel-travel_overseas_months_visited_last_6m_7,text
demographic-travel-travel_overseas_months_visited_last_6m_8,text
demographic-travel-travel_overseas_months_visited_last_6m_9,text
demographic-travel-travel_overseas_presence_last_6m,text
demographic-uk_residency-resident_uk,text
gpaq-moderate_activities-moderate_intensity_sport_days_per_week,text
gpaq-moderate_activities-moderate_intensity_sport_min_per_day,text
gpaq-moderate_activities-moderate_intensity_sport_presence,text
gpaq-moderate_work-moderate_intensity_work_days_per_week,text
gpaq-moderate_work-moderate_intensity_work_min_per_day,text
gpaq-moderate_work-moderate_intensity_work_presence,text
gpaq-sitting-daily_sitting_reclining_time,text
gpaq-active_commute-commute_walk_or_bicycling_days_per_week,text
gpaq-active_commute-commute_walk_or_bicycling_min_per_day,text
gpaq-active_commute-commute_walk_or_bicycling_presence,text
gpaq-vigorous_activities-vigorous_intensity_sport_days_per_week,text
gpaq-vigorous_activities-vigorous_intensity_sport_min_per_day,text
gpaq-vigorous_activities-vigorous_intensity_sport_presence,text
gpaq-vigorous_work-vigorous_intensity_work_days_per_week,text
gpaq-vigorous_work-vigorous_intensity_work_min_per_day,text
gpaq-vigorous_work-vigorous_intensity_work_presence,text
k_10-emotion-feeling_depressed_freq,text
k_10-emotion-feeling_effortful_freq,text
k_10-emotion-feeling_extreme_depressed_freq,text
k_10-emotion-feeling_extreme_nervous_freq,text
k_10-emotion-feeling_extreme_restless_freq,text
k_10-emotion-feeling_hopeless_freq,text
k_10-emotion-feeling_nervous_freq,text
k_10-emotion-feeling_restless_freq,text
k_10-emotion-feeling_tired_unexplained_freq,text
k_10-emotion-feeling_worthless_freq,text
medical_hist-antibiotics-antibiotics_course_last_3m_duration,text
medical_hist-antibiotics-antibiotics_name_last_3m,text
medical_hist-antibiotics-antibiotics_presence_last_3m,text
medical_hist-antibiotics-med_dosage_freq,text
medical_hist-antibiotics-med_name_last_3m,text
medical_hist-antibiotics-med_presence_last_3m,text
medical_hist-antibiotics-med_supplement_last_3m_presence,text
medical_hist-blood_donor-blood_donor_last_time_month,text
medical_hist-blood_donor-blood_donor_last_time_year,text
medical_hist-blood_donor-blood_donor_rejected,text
medical_hist-blood_donor-blood_donor_rejected_reason,text
medical_hist-blood_donor-blood_donor_status,text
medical_hist-bowel_movement-bowel_difficulty_presence,text
medical_hist-bowel_movement-bowel_movement_product,text
medical_hist-bowel_movement-bowel_movements_1w_freq,text
medical_hist-bowel_movement-bowel_movements_description,text
medical_hist-cognitive_health-difficulty_remember_freq_last_1w,text
medical_hist-diseases-disease_diagnosed_name,text
medical_hist-food_allergies-food_allergies,text
medical_hist-food_allergies-food_allergies_others,text
medical_hist-gastro_cond-abdominal_bloating_freq_last_1w,text
medical_hist-gastro_cond-acid_reflux_freq_last_1w,text
medical_hist-gastro_cond-bowel_habits_additional_info,text
medical_hist-gastro_cond-bowel_habits_description,text
medical_hist-gastro_cond-bowel_movement_daily_freq,text
medical_hist-gastro_cond-colorectal_cancer_three_relatives,text
medical_hist-gastro_cond-colorectal_neoplasm_presence,text
medical_hist-gastro_cond-constipation_freq_last_1w,text
medical_hist-gastro_cond-diarrhea_freq_last_1w,text
medical_hist-gastro_cond-early_satiety_freq_last_1w,text
medical_hist-gastro_cond-gastric_pain_freq_last_1w,text
medical_hist-gastro_cond-gastro_disorder_presence,text
medical_hist-gastro_cond-gi_microbes_infection_last_12m,text
medical_hist-gastro_cond-haemorrhoids_presence,text
medical_hist-gastro_cond-intestinal_disease_immediate_family,text
medical_hist-gastro_cond-intestinal_polyps_immediate_family,text
medical_hist-gastro_cond-med_for_reflux_presence,text
medical_hist-gastro_cond-medical_cond_first_deg_relative,text
medical_hist-gastro_cond-regurgitation_freq_last_1w,text
medical_hist-gastro_cond-stool_blood_presence,text
medical_hist-gastro_cond-stool_type,text
medical_hist-gastro_cond-stool_urges_after_eating_freq_last_1w,text
medical_hist-general_health-buiding_muscle_ranking,text
medical_hist-general_health-general_wellbeing_ranking,text
medical_hist-general_health-health_goal,text
medical_hist-general_health-health_goal_others,text
medical_hist-general_health-healthy_diet_rating_last_1m,text
medical_hist-general_health-healthy_diet_rating_last_1w,text
medical_hist-general_health-improving_gut_health_ranking,text
medical_hist-general_health-improving_mood_ranking,text
medical_hist-general_health-improving_sleep_ranking,text
medical_hist-general_health-losing_weight_ranking,text
medical_hist-hospitalized-hospitalized_past_12m_reason,text
medical_hist-hospitalized-hospitalized_past_12m_status,text
medical_hist-hospitalized-hospitalized_past_12m_year,text
medical_hist-hospitalized-hospitalized_status,text
medical_hist-long_term_cond-long_term_cond_name,text
medical_hist-long_term_cond-long_term_cond_presence,text
medical_hist-med-long_term_med_current_presence,text
medical_hist-med-long_term_med_name,text
medical_hist-med-long_term_med_name_last_3m,text
medical_hist-med-med_name_last_3m_others,text
medical_hist-medical_cond-cardiovascular_cond_presence,text
medical_hist-medical_cond-colorectal_cancer_diagnosed_year,text
medical_hist-medical_cond-colorectal_cancer_presence,text
medical_hist-medical_cond-gerd_cond_diagnosed_year,text
medical_hist-medical_cond-gerd_cond_presence,text
medical_hist-medical_cond-heart_disease_diagnosed_year,text
medical_hist-medical_cond-heart_disease_presence,text
medical_hist-medical_cond-high_blood_pressure_diagnosed_year,text
medical_hist-medical_cond-high_blood_pressure_presence,text
medical_hist-medical_cond-high_cholesterol_diagnosed_year,text
medical_hist-medical_cond-high_cholesterol_presence,text
medical_hist-medical_cond-ibd_cond_diagnosed_year,text
medical_hist-medical_cond-ibd_cond_presence,text
medical_hist-medical_cond-ibs_cond_diagnosed_year,text
medical_hist-medical_cond-ibs_cond_presence,text
medical_hist-medical_cond-medical_cond_diagnosed,text
medical_hist-medical_cond-medical_cond_name,text
medical_hist-medical_cond-medical_cond_presence,text
medical_hist-medical_cond-medical_cond_self_and_family,text
medical_hist-medical_cond-nash_cond_diagnosed_year,text
medical_hist-medical_cond-nash_cond_presence,text
medical_hist-medical_cond-pre_diabetes_diagnosed_year,text
medical_hist-medical_cond-pre_diabetes_presence,text
medical_hist-medical_cond-t2dm_cond_diagnosed_year,text
medical_hist-medical_cond-t2dm_cond_presence,text
medical_hist-mental_health-cognitive_ability_rating_last_1m,text
medical_hist-mental_health-emotional_wellbeing_rating_last_1m,text
medical_hist-mental_health-feeling_down_depressed_freq_last_1w,text
medical_hist-mental_health-feeling_lethargic_freq_last_1w,text
medical_hist-mental_health-feeling_stressed_freq_last_1w,text
medical_hist-mental_health-mental_wellbeing_rating_last_1w,text
medical_hist-mental_health-sleep_quality_rating_last_1m,text
medical_hist-mental_health-sleep_quality_rating_last_1w,text
medical_hist-over_the_counter-otc_med_name,text
medical_hist-over_the_counter-otc_med_presence,text
medical_hist-physical_health-exercise_duration_last_1w,text
medical_hist-physical_health-exercise_freq_last_1w,text
medical_hist-physical_health-exercise_presence,text
medical_hist-physical_health-fast_heartbeat_freq_last_1w,text
medical_hist-physical_health-healthy_fitness_rating_last_1m,text
medical_hist-physical_health-muscle_pain_cramps_freq_last_1w,text
medical_hist-physical_health-physical_health_rating_last_1m,text
medical_hist-physical_health-physical_health_rating_last_1w,text
medical_hist-physical_health-shortness_of_breath_freq_last_1w,text
medical_hist-physical_health-steps_daily_avg_last_1m,text
medical_hist-supplement-probiotics_dosage_freq,text
medical_hist-supplement-probiotics_usage_reason,text
medical_hist-supplement-probiotics_usage_reason_others,text
medical_hist-supplement-supplement_dosage_freq,text
medical_hist-supplement-supplement_name_last_3m,text
medical_hist-supplement-supplement_presence_last_3m,text
medical_hist-vaccination-vaccine_others,text
medical_hist-vaccination-vaccine_presence_bcg,text
medical_hist-vaccination-vaccine_presence_intranasal_influenza,text
medical_hist-vaccination-vaccine_presence_mumps,text
medical_hist-vaccination-vaccine_presence_oral_polio,text
medical_hist-vaccination-vaccine_presence_oral_typhoid,text
medical_hist-vaccination-vaccine_presence_others,text
medical_hist-vaccination-vaccine_presence_rotavirus,text
medical_hist-vaccination-vaccine_presence_rubella,text
medical_hist-vaccination-vaccine_presence_vaccinia,text
medical_hist-vaccination-vaccine_presence_varicella,text
medical_hist-vaccination-vaccine_presence_yellow_fever,text
medical_hist-vaccination-vaccine_presence_zoster,text
nutrition-diet-alcoholic_drinks_presence,text
nutrition-diet-diet_breakfast,text
nutrition-diet-diet_dinner,text
nutrition-diet-diet_lunch,text
nutrition-diet-diet_preference,text
nutrition-diet-diet_preference_others,text
nutrition-diet-diet_snack,text
nutrition-diet-meal_freq_alcoholic_drinks,text
nutrition-diet-meal_freq_alcoholic_drinks_last_1w,text
nutrition-diet-meal_freq_eating_out,text
nutrition-diet-meal_freq_fatty_fish_last_1w,text
nutrition-diet-meal_freq_nut_legume_last_1w,text
nutrition-diet-meal_freq_red_meat_last_1w,text
nutrition-diet-meal_freq_whole_grain_last_1w,text
nutrition-diet-meal_servings_alcoholic_drinks_avg,text
nutrition-diet-meal_servings_alcoholic_drinks_last_1w,text
nutrition-diet-meal_servings_fatty_fish_last_1w,text
nutrition-diet-meal_servings_fruit_last_1w,text
nutrition-diet-meal_servings_greenleafy_vegetable_last_1w,text
nutrition-diet-meal_servings_nut_legume_last_1w,text
nutrition-diet-meal_servings_red_meat_last_1w,text
nutrition-diet-meal_servings_whole_grain_last_1w,text
physiology-pregnancy-pregnant_status,text
psqi-enthusiasm-enthusiasm_problem,text
psqi-med-sleep_med_freq,text
psqi-restlessness-sleep_restlessness_others,text
psqi-roommate-sleep_disorientation_or_confusion_freq,text
psqi-roommate-sleep_leg_movement_freq,text
psqi-roommate-sleep_long_pauses_breath_freq,text
psqi-roommate-sleep_restlessness_others_freq,text
psqi-roommate-snoring_loud_freq,text
psqi-sleep_quality-difficulty_staying_awake_freq,text
psqi-sleep_quality-fall_asleep_duration,text
psqi-sleep_quality-roomate_presence,text
psqi-sleep_quality-sleep_duration_hour,text
psqi-sleep_quality-sleep_quality_rate,text
psqi-sleep_quality-sleep_time,text
psqi-sleep_quality-sleep_time_ampm,text
psqi-sleep_quality-wake_time,text
psqi-sleep_quality-wake_time_ampm,text
psqi-trouble_sleeping-bad_dreams_freq,text
psqi-trouble_sleeping-cough_snoring_loud_freq,text
