column_name,data_type
created_dttm,timestamp with time zone
updated_dttm,timestamp with time zone
bmi_val,double precision
weight_val,bigint
monkey_pox_dt,timestamp without time zone
created_dttm,timestamp with time zone
updated_dttm,timestamp with time zone
heart_rate_val,bigint
contact_monkey_pox_dt,timestamp without time zone
monkey_pox_dt,timestamp without time zone
weight_val,bigint
contact_monkey_pox_dt,timestamp without time zone
height_val,double precision
bmi_val,double precision
temperature_val,double precision
heart_rate_val,bigint
temperature_val,double precision
height_val,double precision
last_positive_covid_19_dt,text
contact_covid_19_ind,text
contact_covid_19_scenario_txt,text
monkey_pox_ind,text
contact_monkey_pox_ind,text
difficulty_breathing_ind,text
cough_ind,text
fever_ind,text
loss_of_taste_smell_ind,text
sore_throat_ind,text
diarrhoea_ind,text
body_ache_ind,text
runny_nose_ind,text
no_symptoms_ind,text
comments_txt,text
survey_review_comments_txt,text
last_menstruation_dt,text
residing_sg_3_6_mth_ind,text
residing_sg_3_6_mth_txt,text
visited_countries_last_12_mth_txt,text
spec_dietary_req_ind,text
spec_dietary_req_txt,text
gastric_intestinal_participant_ind,text
hard_stools_participant_ind,text
products_regulating_bowel_movement_participant_ind,text
needle_piercing_participant_ind,text
physical_contact_live_animal_human_tissue_participant_ind,text
sexual_contact_participant_ind,text
sexual_contact_same_gender_participant_ind,text
unprotected_sex_new_partner_participant_ind,text
physical_contact_patients_participant_ind,text
gastric_intestinal_clinician_txt,text
hard_stools_clinician_txt,text
products_regulating_bowel_movement_clinician_txt,text
needle_piercing_clinician_txt,text
physical_contact_live_animal_human_tissue_clinician_txt,text
sexual_contact_clinician_txt,text
sexual_contact_same_gender_clinician_txt,text
unprotected_sex_new_partner_clinician_txt,text
physical_contact_patients_clinician_txt,text
diabetes_treatment_participant_ind,text
blood_stools_participant_ind,text
atopic_conditions_participant_ind,text
autoimmune_disease_participant_ind,text
mental_health_disorder_participant_ind,text
chronic_intestinal_condition_participant_ind,text
regular_bowel_movements_participant_ind,text
haemorrhoids_participant_ind,text
reflux_medication_participant_ind,text
intestinal_infection_participant_ind,text
microbes_with_gi_movement_participant_ind,text
fmt_eligibility_grp,text
kiv_contact_no_of_mth,text
flatulence_participant_ind,text
abdominal_cramps_participant_ind,text
flatulence_clinician_txt,text
abdominal_cramps_clinician_txt,text
created_by,text
updated_by,text
survey_name,text
fmt_concerns_txt,text
stool_donation_freq_txt,text
cancer_intestinal_polyps_family_ind,text
intestinal_disease_family_ind,text
smoking_history_participant_cat,text
