sequence_number,batch,analysis_id,kit_id,lab_id,project,sequence_type,sequence_version,kneaddata_fastq,stat_csv,metaphlan_file,pathway_abun,ec_abun,genes_abun,ko_abun,raw_data_forward,raw_data_reverse
AML-AMD0027200803,BATCH3,,AMDJ-K99V-7MSU,AMD0027,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/kneaddata/AML-AMD0027200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/kneaddata/AML-AMD0027200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/metaphlan/AML-AMD0027200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0027200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0027200803_2.fastq.gz
AML-AMD0166201105,BATCH4-RUN1,,AMDJ-GG9Q-EC4X,AMD0166,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/kneaddata/AML-AMD0166201105.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/kneaddata/AML-AMD0166201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/metaphlan/AML-AMD0166201105_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_2.fastq.gz
AML-AMD0166201105,BATCH4-RUN1,,AMDJ-GG9Q-EC4X,AMD0166,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/kneaddata/AML-AMD0166201105.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/kneaddata/AML-AMD0166201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/metaphlan/AML-AMD0166201105_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/kneaddata/decompressed_r65s_p1v_AMD0005q.R2.fastq,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/kneaddata/AMD0005q_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/metaphlan/AMD0005q_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/kneaddata/AMD0005q_S24.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/kneaddata/AMD0005q_S24_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/metaphlan/AMD0005q_S24_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,,,,,,,,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AML-AMD0061200803,BATCH3,,AMDJ-4QX6-A4GT,AMD0061,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/kneaddata/AML-AMD0061200803.fastq,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/kneaddata/AML-AMD0061200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/metaphlan/AML-AMD0061200803_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0061200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0061200803_2.fastq.gz
AML-AMD0170201105,BATCH4-RUN1,,AMDJ-GCBN-H9FN,AMD0170,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/kneaddata/AML-AMD0170201105.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/kneaddata/AML-AMD0170201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/metaphlan/AML-AMD0170201105_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0170201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0170201105_2.fastq.gz
AMD0023Q,BATCH2,,AMDJ-PEA9-6NRF,AMD0023,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/kneaddata/AMD0023q_S36.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/kneaddata/AMD0023q_S36_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/metaphlan/AMD0023q_S36_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_reaction_ko.tsv,,
AMD0020Q,BATCH2,,AMDJ-PA76-2CCU,AMD0020,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/kneaddata/AMD0020q_S34.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/kneaddata/AMD0020q_S34_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/metaphlan/AMD0020q_S34_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_reaction_ko.tsv,,
