table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
app_db,public,fmt_sequence_mapping,BASE TABLE,,,,,,YES,NO,
app_db,public,pathway_score,BASE TABLE,,,,,,YES,NO,
app_db,public,encounter,BASE TABLE,,,,,,YES,NO,
app_db,public,observation_jan_2025,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_batch,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_release_deployment,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_api_key,BASE TABLE,,,,,,YES,NO,
app_db,public,lda_score,BASE TABLE,,,,,,YES,NO,
app_db,public,nccs_follow_up_questionnaire,BASE TABLE,,,,,,YES,NO,
app_db,public,response_score,BASE TABLE,,,,,,YES,NO,
app_db,public,fmt_donor_biomarker,BASE TABLE,,,,,,YES,NO,
app_db,public,kit_mastersheet,BASE TABLE,,,,,,YES,NO,
app_db,public,survey_labeling,BASE TABLE,,,,,,YES,NO,
app_db,public,fmt_donor_biomarker_copy,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_taxonomy_detail,BASE TABLE,,,,,,YES,NO,
app_db,public,observation,BASE TABLE,,,,,,YES,NO,
app_db,public,unique_patient_observation,BASE TABLE,,,,,,YES,NO,
app_db,public,fmt_donor_biomarker_mapping,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_report_top_10,BASE TABLE,,,,,,YES,NO,
app_db,public,response_gpaq,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_nutrient,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_report_cache,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_ingredient,BASE TABLE,,,,,,YES,NO,
app_db,public,10_elegance_other_information,BASE TABLE,,,,,,YES,NO,
app_db,public,enzyme_lookup_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,ftp_sequence_mapping,BASE TABLE,,,,,,YES,NO,
app_db,public,kit_basic_information,VIEW,,,,,,NO,NO,
app_db,public,food_information,VIEW,,,,,,NO,NO,
app_db,public,kit_sample_sequence,VIEW,,,,,,NO,NO,
app_db,public,response_medical_mastersheet,BASE TABLE,,,,,,YES,NO,
app_db,public,response_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_report_bacteria,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_relative_abundance_detail,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_16s,BASE TABLE,,,,,,YES,NO,
app_db,public,response_psqi,BASE TABLE,,,,,,YES,NO,
app_db,public,response_pss,BASE TABLE,,,,,,YES,NO,
app_db,public,response_k10,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_report,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_internal_question,BASE TABLE,,,,,,YES,NO,
app_db,public,emulsion_subject_ind_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,response_smoking,BASE TABLE,,,,,,YES,NO,
app_db,public,response_dietary_habits,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_bacteria_sum_pathway,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_batch_status_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_completor_technicians,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sequencing_partner,BASE TABLE,,,,,,YES,NO,
app_db,public,fmt_donor_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,ffq_observation,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_extractor_technicians,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_ftp_donor_sample,BASE TABLE,,,,,,YES,NO,
app_db,public,post_ftp_raw,BASE TABLE,,,,,,YES,NO,
app_db,public,pre_ftp_raw,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_master_table,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_booking_session_feedback,BASE TABLE,,,,,,YES,NO,
app_db,public,response_medical,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_scopes,BASE TABLE,,,,,,YES,NO,
app_db,public,11_elegance_assessment_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_sequencing_partner_name,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_settings,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_coach_profile_availability,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_cuisines,BASE TABLE,,,,,,YES,NO,
app_db,public,elegance_subject_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food_preferences,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_shotgun,BASE TABLE,,,,,,YES,NO,
app_db,public,supplement,BASE TABLE,,,,,,YES,NO,
app_db,public,emulsion_clinical_metadata,BASE TABLE,,,,,,YES,NO,
app_db,public,response_demographic,BASE TABLE,,,,,,YES,NO,
app_db,public,response_physiology,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_confirmed_order_history,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_data_masking,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_food,BASE TABLE,,,,,,YES,NO,
app_db,public,sequence_abundance_detail,BASE TABLE,,,,,,YES,NO,
app_db,public,lilac_batch-pipeline-version,BASE TABLE,,,,,,YES,NO,
